"cited","citing"
"10.1038/nature19791","10.1002/wcms.1318"
"10.1038/nature19791","10.3389/fmolb.2022.848689"
"10.1038/nature19791","10.1017/s0033583519000131"
"10.1038/nature19791","10.1002/cbic.201800558"
"10.1038/nature19791","10.1002/cbic.201800346"
"10.1038/nature19791","10.1002/cbic.201800026"
"10.1038/nature19791","10.1016/j.cell.2022.07.019"
"10.1038/nature19791","10.1016/j.cbpa.2020.02.002"
"10.1038/nature19791","10.1016/j.cell.2020.08.015"
"10.1038/nature19791","10.1002/ddr.21398"
"10.1038/nature19791","10.1002/jcc.25589"
"10.1038/nature19791","10.1073/pnas.2207327119"
"10.1038/nature19791","10.1039/c8ob01678j"
"10.1038/nature19791","10.1073/pnas.2207974120"
"10.1038/nature19791","10.1039/c6ob02746f"
"10.1038/nature19791","10.2174/0929867325666180831165704"
"10.1038/nature19791","10.1038/s41467-024-45480-z"
"10.1038/nature19791","10.1016/j.ijbiomac.2023.127089"
"10.1038/nature19791","10.2174/1381612828666220929154255"
"10.1038/nature19791","10.1039/d2cp04690c"
"10.1038/nature19791","10.1016/j.ijbiomac.2023.126811"
"10.1038/nature19791","10.2147/oajc.s375634"
"10.1038/nature19791","10.1002/ange.201801361"
"10.1038/nature19791","10.1021/acs.jpclett.0c00929"
"10.1038/nature19791","10.1371/journal.pone.0240450"
"10.1038/nature19791","10.1146/annurev-micro-090816-093247"
"10.1038/nature19791","10.1371/journal.pcbi.1010271"
"10.1038/nature19791","10.1371/journal.pcbi.1009037"
"10.1038/nature19791","10.1002/cbic.202200537"
"10.1038/nature19791","10.1371/journal.pcbi.1010947"
"10.1038/nature19791","10.1016/j.cclet.2018.03.015"
"10.1038/nature19791","10.1007/s11356-021-15310-6"
"10.1038/nature19791","10.1126/scitranslmed.abn0402"
"10.1038/nature19791","10.1021/acs.orglett.9b00378"
"10.1038/nature19791","10.1021/acs.jctc.1c00077"
"10.1038/nature19791","10.1073/pnas.1722633115"
"10.1038/nature19791","10.1016/j.drudis.2021.01.022"
"10.1038/nature19791","10.1039/d2cc00008c"
"10.1038/nature19791","10.3389/fmolb.2022.928534"
"10.1038/nature19791","10.1016/j.ijbiomac.2020.05.102"
"10.1038/nature19791","10.1021/acs.jctc.7b00125"
"10.1038/nature19791","10.1002/cbic.202200588"
"10.1038/nature19791","10.1021/jacs.2c12462"
"10.1038/nature19791","10.1038/s41586-023-05993-x"
"10.1038/nature19791","10.1371/journal.pcbi.1006969"
"10.1038/nature19791","10.1016/j.pep.2019.01.007"
"10.1038/nature19791","10.1021/acs.molpharmaceut.0c00118"
"10.1038/nature19791","10.1021/acs.jctc.9b00101"
"10.1038/nature19791","10.1021/acscatal.1c01097"
"10.1038/nature19791","10.1016/j.tips.2019.04.012"
"10.1038/nature19791","10.1016/j.tips.2019.03.004"
"10.1038/nature19791","10.1038/s41598-018-24766-5"
"10.1038/nature19791","10.1038/s41598-018-24760-x"
"10.1038/nature19791","10.1038/s41467-022-33004-6"
"10.1038/nature19791","10.1038/s41467-022-32075-9"
"10.1038/nature19791","10.1039/d2sc05343h"
"10.1038/nature19791","10.1038/s41573-019-0013-8"
"10.1038/nature19791","10.1093/bioinformatics/btab598"
"10.1038/nature19791","10.1093/bib/bby130"
"10.1038/nature19791","10.1002/ange.201702472"
"10.1038/nature19791","10.1038/s41589-020-00699-x"
"10.1038/nature19791","10.1038/s41592-020-0848-2"
"10.1038/nature19791","10.1002/prot.25445"
"10.1038/nature19791","10.1007/s10989-022-10362-9"
"10.1038/nature19791","10.1016/j.csbj.2022.06.021"
"10.1038/nature19791","10.1073/pnas.1713526115"
"10.1038/nature19791","10.1021/acs.jmedchem.2c01077"
"10.1038/nature19791","10.1007/s10822-022-00482-1"
"10.1038/nature19791","10.1021/acs.jpcb.2c05470"
"10.1038/nature19791","10.1007/s11244-018-0953-y"
"10.1038/nature19791","10.1016/j.jbc.2021.100558"
"10.1038/nature19791","10.1016/j.jbc.2021.100425"
"10.1038/nature19791","10.1021/acs.analchem.1c00395"
"10.1038/nature19791","10.1002/ange.201611914"
"10.1038/nature19791","10.3390/toxins12090598"
"10.1038/nature19791","10.1038/s41589-018-0039-y"
"10.1038/nature19791","10.1021/acs.jctc.7b00125"
"10.1038/nature19791","10.1016/j.csbj.2020.06.018"
"10.1038/nature19791","10.1073/pnas.1710695114"
"10.1038/nature19791","10.1002/cbic.202300745"
"10.1038/nature19791","10.1038/s41594-023-01147-9"
"10.1038/nature19791","10.7554/elife.36326"
"10.1038/nature19791","10.3390/ijms22041611"
"10.1038/nature19791","10.3389/fphar.2022.842032"
"10.1038/nature19791","10.1002/chem.201703199"
"10.1038/nature19791","10.3390/mca26020039"
"10.1038/nature19791","10.3390/life7020023"
"10.1038/nature19791","10.1186/s12859-024-05637-5"
"10.1038/nature19791","10.1021/acs.biochem.0c00533"
"10.1073/pnas.71.10.4135","10.1016/j.biotechadv.2013.04.008"
"10.1073/pnas.71.10.4135","10.1111/febs.12892"
"10.1073/pnas.71.10.4135","10.1111/febs.12532"
"10.1073/pnas.71.10.4135","10.1098/rsif.2008.0280"
"10.1073/pnas.71.10.4135","10.1016/j.jtbi.2004.06.026"
"10.1073/pnas.71.10.4135","10.1111/j.1432-1033.1994.tb20059.x"
"10.1073/pnas.71.10.4135","10.1038/s41467-020-14806-y"
"10.1073/pnas.71.10.4135","10.1016/j.isci.2021.103526"
"10.1073/pnas.71.10.4135","10.1103/revmodphys.92.025001"
"10.1073/pnas.71.10.4135","10.1016/j.plrev.2016.06.010"
"10.1073/pnas.71.10.4135","10.1371/journal.pone.0000244"
"10.1073/pnas.71.10.4135","10.1111/j.1469-185x.2008.00052.x"
"10.1073/pnas.71.10.4135","10.1103/physrevresearch.3.l032034"
"10.1073/pnas.71.10.4135","10.1103/physrevlett.93.258103"
"10.1073/pnas.71.10.4135","10.1016/j.jmb.2021.167189"
"10.1073/pnas.71.10.4135","10.1016/j.jmb.2020.07.007"
"10.1073/pnas.71.10.4135","10.1016/s0022-2836(03)00236-5"
"10.1073/pnas.71.10.4135","10.1002/bies.950060109"
"10.1073/pnas.71.10.4135","10.1002/(sici)1521-1878(199802)20:2<181::aid-bies10>3.0.co;2-0"
"10.1073/pnas.71.10.4135","10.1002/bies.20010"
"10.1073/pnas.71.10.4135","10.1002/bies.10369"
"10.1073/pnas.71.10.4135","10.1016/j.physrep.2020.01.001"
